,SampleID,SampleID,SampleIDnoRep,SeqID,StationCode,SampleDate,Replicate,SampleType,D_ValveCount,S_EntityCount,S_Biovolume,D_NumberTaxa,S_NumberTaxa,H_NumberTaxa,UnrecognizedTaxa,D_ASCI,S_ASCI,H_ASCI,D_cnt.spp.most.tol_pct_att,D_cnt.spp.most.tol_pred,D_cnt.spp.most.tol_raw,D_cnt.spp.most.tol_scr,D_EpiRho.richness_pct_att,D_EpiRho.richness_pred,D_EpiRho.richness_raw,D_EpiRho.richness_scr,D_prop.spp.IndicatorClass_TN_low_pct_att,D_prop.spp.IndicatorClass_TN_low_pred,D_prop.spp.IndicatorClass_TN_low_raw,D_prop.spp.IndicatorClass_TN_low_scr,D_prop.spp.Planktonic_pct_att,D_prop.spp.Planktonic_pred,D_prop.spp.Planktonic_raw,D_prop.spp.Planktonic_scr,D_prop.spp.Trophic.E_pct_att,D_prop.spp.Trophic.E_pred,D_prop.spp.Trophic.E_raw,D_prop.spp.Trophic.E_scr,D_Salinity.BF.richness_pct_att,D_Salinity.BF.richness_pred,D_Salinity.BF.richness_raw,D_Salinity.BF.richness_scr,S_prop.spp.IndicatorClass_DOC_high_pct_att,S_prop.spp.IndicatorClass_DOC_high_raw,S_prop.spp.IndicatorClass_DOC_high_scr,S_prop.spp.IndicatorClass_NonRef_pct_att,S_prop.spp.IndicatorClass_NonRef_raw,S_prop.spp.IndicatorClass_NonRef_scr,S_prop.spp.IndicatorClass_TP_high_pct_att,S_prop.spp.IndicatorClass_TP_high_raw,S_prop.spp.IndicatorClass_TP_high_scr,S_prop.spp.ZHR_pct_att,S_prop.spp.ZHR_raw,S_prop.spp.ZHR_scr,H_cnt.spp.IndicatorClass_TP_high_pct_att,H_cnt.spp.IndicatorClass_TP_high_pred,H_cnt.spp.IndicatorClass_TP_high_raw,H_cnt.spp.IndicatorClass_TP_high_scr,H_cnt.spp.most.tol_pct_att,H_cnt.spp.most.tol_pred,H_cnt.spp.most.tol_raw,H_cnt.spp.most.tol_scr,H_EpiRho.richness_pct_att,H_EpiRho.richness_pred,H_EpiRho.richness_raw,H_EpiRho.richness_scr,H_OxyRed.DO_30.richness_pct_att,H_OxyRed.DO_30.richness_pred,H_OxyRed.DO_30.richness_raw,H_OxyRed.DO_30.richness_scr,H_prop.spp.Planktonic_pct_att,H_prop.spp.Planktonic_pred,H_prop.spp.Planktonic_raw,H_prop.spp.Planktonic_scr,H_prop.spp.Trophic.E_pct_att,H_prop.spp.Trophic.E_pred,H_prop.spp.Trophic.E_raw,H_prop.spp.Trophic.E_scr,H_prop.spp.ZHR_pct_att,H_prop.spp.ZHR_raw,H_prop.spp.ZHR_scr,H_Salinity.BF.richness_pct_att,H_Salinity.BF.richness_pred,H_Salinity.BF.richness_raw,H_Salinity.BF.richness_scr,Comments,version_number
5,105PS0540_6/14/16_1,105PS0540_06/14/16_1,105PS0540_6/14/16,X202,105PS0540,6/14/16,1,"Integrated, Macroalgae, Microalgae",601,0,0,67,15,82,NA,0.800392501,1.052266914,0.734286008,0.208955224,5.262349371,6,0.640858306,1,1.872933333,1,0.558745019,0.567164179,0.53082415,0.394736842,0.436645234,0.925373134,0.009058193,0.032258065,0.573984396,0.731343284,0.334336152,0.346938776,0.714777503,0.746268657,1.985975544,3,0.689750069,0.8,0.166666667,0.895598772,0.8,0.166666667,0.871212121,0.8,0.166666667,0.821382008,1,0.2,0.4,0.536585366,11.99883333,20,0.346062824,0.170731707,4.147092368,6,0.59984203,1,1.729,1,0.589215378,0.56097561,1.059966667,4,0.362983558,0.756097561,0.010130701,0.032258065,0.584916027,0.597560976,0.339944875,0.346938776,0.728718259,0.182926829,0.2,0.4,0.609756098,2.146589819,3,0.680199947,,2.5.5
245,903ACPCT1_5/5/16_1,903ACPCT1_05/05/16_1,903ACPCT1_5/5/16,X205,903ACPCT1,5/5/16,1,"Integrated, Macroalgae, Microalgae, Epiphyte",605,59,0,44,29,73,NA,1.012865111,1.010337566,0.972125242,0.25,5.587516746,6,0.670795509,1,2.7731,3,0.799916089,0.522727273,0.362996471,0.217391304,0.416366274,0.977272727,0.017253421,0,0.988984831,0.636363636,0.555207787,0.428571429,1,0.75,3.06695369,4,0.698274036,0.689655172,0.2,0.859774821,0.689655172,0.15,0.888636364,0.689655172,0.15,0.844850065,1,0.137931034,0.275862069,0.561643836,15.02146667,19,0.571535949,0.178082192,5.141337844,7,0.599387359,0.98630137,2.598933333,3,0.845618265,0.356164384,4.348133333,5,0.734193822,0.589041096,0.015274366,0,0.96853022,0.383561644,0.555037534,0.428571429,1,0.397260274,0.137931034,0.275862069,0.452054795,3.213794476,4,0.686992422,,2.5.5
239,902M20173_6/7/16_1,902M20173_06/07/16_1,902M20173_6/7/16,X210,902M20173,6/7/16,1,"Epiphyte, Integrated, Microalgae, Macroalgae",600,153,0,46,23,69,NA,0.410402508,0.800335185,0.357807542,0.304347826,5.4023165,12,0.101342327,1,2.029566667,0,0.305118864,0.608695652,0.291254029,0,0.106043581,1,0.020805277,0.043478261,0.57938961,0.652173913,0.584639702,0.7,0.448729352,0.739130435,4.405407966,9,0.312850387,0.782608696,0.333333333,0.716479017,0.782608696,0.222222222,0.813131313,0.782608696,0.222222222,0.74315515,1,0,0,0.68115942,15.29626667,33,0,0.231884058,6.108946274,14,0.122762029,1,2.025633333,0,0.295019876,0.391304348,2.299433333,5,0.401832339,0.666666667,0.020689226,0.043478261,0.578129538,0.434782609,0.596950282,0.7,0.483555108,0.333333333,0,0,0.492753623,3.495465576,9,0.210103886,,2.5.5
249,903NP9PRC_4/20/16_1,903NP9PRC_04/20/16_1,903NP9PRC_4/20/16,X212,903NP9PRC,4/20/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",601,150,0,33,36,69,NA,1.080677744,0.966442079,0.992925498,0.242424242,5.27597442,3,0.918313895,1,0.343666667,1,0.894082081,0.393939394,0.264774794,0.230769231,0.654142863,0.909090909,0.001669666,0.033333333,0.487156389,0.606060606,0.519326688,0.45,0.926899293,0.666666667,2.974648441,1,1,0.657142857,0.217391304,0.841084064,0.657142857,0.173913043,0.863636364,0.657142857,0.173913043,0.811178505,1,0.114285714,0.228571429,0.529411765,13.73012857,16,0.667308372,0.161764706,4.804724373,5,0.730813203,1,0.341733333,1,0.903974842,0.308823529,3.028633333,3,0.84459163,0.441176471,0.004169671,0.033333333,0.512747595,0.294117647,0.520239704,0.45,0.925841501,0.514705882,0.114285714,0.228571429,0.323529412,3.210263904,1,0.989850054,,2.5.5
260,905SDBDN9_3/29/16_1,905SDBDN9_03/29/16_1,905SDBDN9_3/29/16,X213,905SDBDN9,3/29/16,1,"Integrated, Macroalgae, Microalgae, Epiphyte",600,154,0,59,26,85,NA,0.551246042,1.040280244,0.522011104,0.254237288,5.379530329,11,0.191311528,1,1.215533333,0,0.48361981,0.474576271,0.249247699,0.071428571,0.347730495,0.915254237,0.027095354,0.037037037,0.709996914,0.576271186,0.567565122,0.588235294,0.693889951,0.593220339,4.031890709,11,0.063007903,0.6,0.2,0.859774821,0.6,0.133333333,0.906060606,0.6,0.133333333,0.868318123,1,0.16,0.32,0.476190476,13.47984286,25,0.148819448,0.19047619,6.108946274,11,0.359795049,0.988095238,1.050466667,0,0.516277219,0.380952381,2.593133333,6,0.287248986,0.642857143,0.026682344,0.037037037,0.705663473,0.404761905,0.575230451,0.588235294,0.713376539,0.297619048,0.16,0.32,0.416666667,3.311738618,11,0,,2.5.5
270,907NP9OSD_4/19/16_1,907NP9OSD_04/19/16_1,907NP9OSD_4/19/16,X218,907NP9OSD,4/19/16,1,"Integrated, Microalgae, Epiphyte, Macroalgae",605,77,0,54,23,77,NA,0.911906147,0.776810502,0.739381645,0.259259259,5.474155923,9,0.384157542,1,0.673866667,0,0.602396288,0.574074074,0.181089882,0.161290323,0.68441049,0.944444444,0.013092797,0,0.946302011,0.666666667,0.574714824,0.5,0.940849623,0.685185185,3.75587352,6,0.560266391,0.545454545,0.416666667,0.62691914,0.545454545,0.25,0.784090909,0.545454545,0.25,0.704041721,1,0.045454545,0.090909091,0.513157895,17.16796667,25,0.355542938,0.197368421,5.80895458,10,0.41510341,1,0.668533333,0,0.60293477,0.460526316,2.3701,5,0.413296622,0.671052632,0.014747101,0,0.963122274,0.473684211,0.577461963,0.5,0.944274865,0.289473684,0.045454545,0.090909091,0.486842105,3.7252034,6,0.536538303,,2.5.5
312,SMC01384_6/14/16_1,SMC01384_06/14/16_1,SMC01384_6/14/16,X234,SMC01384,6/14/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,117,0,34,36,70,NA,1.024999703,0.998314238,0.945293609,0.235294118,5.431838692,4,0.840596803,1,3.521566667,6,1,0.794117647,0.270003118,0.37037037,0.940440562,0.970588235,0.045049794,0.03030303,0.96326965,0.735294118,0.55307296,0.72,0.315218777,0.823529412,3.844672704,6,0.56961362,0.571428571,0.25,0.806038895,0.571428571,0.25,0.784090909,0.571428571,0.15,0.844850065,1,0.2,0.4,0.608695652,14.2727,19,0.529566735,0.144927536,5.995102972,5,0.824866215,0.956521739,3.4149,6,1,0.362318841,2.737333333,1,1,0.47826087,0.044913246,0.03030303,0.961718303,0.362318841,0.550266229,0.72,0.313357475,0.507246377,0.2,0.4,0.405797101,3.321932942,6,0.495779156,,2.5.5
216,801M16908_5/24/16_1,801M16908_05/24/16_1,801M16908_5/24/16,X236,801M16908,5/24/16,1,"Integrated, Microalgae, Macroalgae, Epiphyte",600,135,0,51,11,62,NA,0.292504554,0.51398081,0.256605646,0.26,5.47777448,12,0.108289521,0.98,3.460433333,0,0,0.48,0.401084986,0.125,0.138363079,0.94,0.02656079,0.063829787,0.429652679,0.6,0.580438645,0.7,0.437852467,0.66,4.398507966,10,0.206861523,0.727272727,0.625,0.403019447,0.727272727,0.5,0.522727273,0.727272727,0.5,0.35202086,1,0.090909091,0.181818182,0.573770492,16.9242,29,0.11767504,0.245901639,6.108946274,14,0.122762029,0.983606557,3.3263,0,0,0.426229508,1.340228571,6,0.083989707,0.770491803,0.025076126,0.063829787,0.414386911,0.491803279,0.593600597,0.7,0.47500571,0.180327869,0.090909091,0.181818182,0.540983607,3.44800129,10,0.104235109,,2.5.5
266,907M23330_6/9/16_1,907M23330_06/09/16_1,907M23330_6/9/16,X244,907M23330,6/9/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,153,0,49,48,97,NA,1.068344943,0.931968198,0.938392915,0.306122449,5.447713898,6,0.657924273,1,2.308733333,4,1,0.673469388,0.384597298,0.363636364,0.681936038,0.979591837,0.010152408,0,0.916137279,0.816326531,0.496168974,0.45,0.866942048,0.857142857,3.101942556,4,0.701957053,0.711111111,0.3125,0.738868987,0.711111111,0.1875,0.849431818,0.711111111,0.15625,0.836049544,1,0.111111111,0.222222222,0.64893617,14.9768,22,0.400878956,0.191489362,4.39771313,9,0.382610809,0.989361702,2.332066667,4,1,0.414893617,4.628366667,1,1,0.510638298,0.009166021,0,0.905879431,0.425531915,0.493218704,0.45,0.856875835,0.478723404,0.111111111,0.222222222,0.446808511,3.505600864,4,0.716485729,,2.5.5
89,404M07357_6/13/16_1,404M07357_06/13/16_1,404M07357_6/13/16,X247,404M07357,6/13/16,1,"Integrated, Microalgae",600,0,0,43,21,64,NA,0.978891059,0.876947263,0.906024042,0.279069767,5.223036152,7,0.545171797,1,1.7701,2,0.800573928,0.604651163,0.258442706,0.230769231,0.66763415,1,0.016228273,0.023255814,0.739892388,0.720930233,0.542325761,0.451612903,0.982269861,0.76744186,3.944267923,5,0.685359819,0.571428571,0.333333333,0.716479017,0.571428571,0.25,0.784090909,0.571428571,0.25,0.704041721,1,0.142857143,0.285714286,0.578125,16.66520476,23,0.439464818,0.203125,6.150725391,8,0.600129079,1,1.7314,2,0.815562661,0.46875,1.779266667,2,0.804136768,0.671875,0.01745361,0.023255814,0.752356493,0.484375,0.548207823,0.451612903,0.993107887,0.328125,0.142857143,0.285714286,0.515625,3.405365788,5,0.605283329,,2.5.5
