SeqID,Plate,StationCode2,masterid,Date,StaDate,DateReplicate,MostRecent,rand,psa6c,RefStatus,calval,AFDM_Algae..Particulate,Chlorophyll.a..Particulate,Dissolved.Organic.Carbon..Dissolved,SpecificConductivity..Total,Latitude,Longitude,SiteDate,sampledate,old_RefStatus_jeff,ag_1k_01,ag_1k_06,ag_1k_11,ag_1k_16,ag_5k_01,ag_5k_06,ag_5k_11,ag_5k_16,ag_ws_01,ag_ws_06,ag_ws_11,ag_ws_16,agur_1k_01,agur_1k_06,agur_1k_11,agur_1k_16,agur_5k_01,agur_5k_06,agur_5k_11,agur_5k_16,agur_ws_01,agur_ws_06,agur_ws_11,agur_ws_16,area_sqkm,atmca,atmmg,atmso4,bdh_ave,cao_mean,cnl_pi_pct,code_21_1k_01,code_21_1k_06,code_21_1k_11,code_21_1k_16,code_21_5k_01,code_21_5k_06,code_21_5k_11,code_21_5k_16,code_21_ws_01,code_21_ws_06,code_21_ws_11,code_21_ws_16,condqr01,condqr10,condqr50,condqr90,condqr99,elev_range,evi_maxave,grvl_dens,grvl_mines,kfct_ave,lprem_mean,lst32ave,max_elev,maxwd_ws,meanp_ws,mgo_mean,mine_dens,mines,minp_ws,n_mean,nrst_dam,p_mean,paved_int_1k,paved_int_5k,paved_int_ws,ppt_00_09,prmh_ave,roaddens_1k,roaddens_5k,roaddens_ws,s_mean,site_elev,sumave_p,temp_00_09,tmax_ws,ucs_mean,urban_1k_01,urban_1k_06,urban_1k_11,urban_1k_16,urban_5k_01,urban_5k_06,urban_5k_11,urban_5k_16,urban_ws_01,urban_ws_06,urban_ws_11,urban_ws_16,xermtn,xwd_ws,W1_HALL_SWAMP,psa8,total_n_mgl,total_n_mgl_mdl,total_n_mgl_rl,total_p_mgl,total_p_mgl_mdl,total_p_mgl_rl
X202,1,105PS0540,105PS0540,6/14/16,105PS0540_6/14/16,1,Y,0.739564557,DM,Reference,cal,6.9,12.2,1.93,67.6,41.62029,-122.06964,105PS0540_2016-06-14,6/14/16,Intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6202642,0.031140006,0.0081593,0.119611101,1.215209031,4.849677291,0,0,0,0,0,0,0,0,0,0,0,0,0,9.965,21.72,51.8,127.3,209.9,1126,4335.579811,0,0,0.124691524,-0.365877534,158.4295943,2600,12.47607656,963.4810127,2.70763761,0,0,12.7654321,0.20397485,9999,0.222819938,0,0,5,55259.69922,13.58445557,0.531511404,1.414096694,1.265205832,0.025997031,1474,5812.099235,1515.300049,249.962963,97.78423606,0,0,0,0,0,0,0,0,0,0,0,0,0,88.26315789,1.78,DM,0.132,0.0208,0.05,0.0304,0.0041,0.01
X205,1,903ACPCT1,903ACPCT1,5/5/16,903ACPCT1_5/5/16,1,Y,0.8513122,SC,Reference,cal,12,14.3,0.12,480,33.29595,-116.63863,903ACPCT1_2016-05-05,5/5/16,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068342023,0.068342023,0.068342023,0.068342023,46.08324941,0.095931752,0.030691505,0.434523215,1.553663933,4.230562874,0,0,0,0,0,0.15489867,0.15489867,0.15489867,0.15489867,1.964344991,1.964344991,1.964344991,1.964344991,58.94,163.5,343.15,574,602.369,1052,2923.838532,0,0,0.198543247,-2.704518739,105.8098592,1973,6.15,554.5588235,2.134680052,0,0,3.296296296,0.005449746,9999,0.154375007,0,0,5,43934.10156,8.123189459,0,0.042726388,0.494899919,0.026066385,921,3184.0877,2354.699951,300.1851852,144.9046831,0,0,0,0,0,0,0,0,0.068342023,0.068342023,0.068342023,0.068342023,0,38.00714286,0.14,SC,0.259,0.0208,0.05,0.033,0.0041,0.01
X208,1,907SDBOC2,907SDBOC2,5/5/16,907SDBOC2_5/5/16,1,Y,0.40182831,SC,Intermediate,,NA,NA,NA,0.374,32.96353,-116.66406,907SDBOC2_2016-05-05,5/5/16,Intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0.177830468,0.177830468,0.177830468,0.177830468,0.092274568,0.092274568,0.092274568,0.092274568,0.309427415,0.309427415,0.309427415,0.309427415,62.24626651,0.102689175,0.031292183,0.440033229,1.491585752,5.425524608,0,8.120924718,8.120924718,8.120924718,8.120924718,3.552570872,3.552570872,3.552570872,3.552570872,5.17929439,5.17929439,5.17929439,5.17929439,26.8,77,247.5,364,594.654,1175,3627.991463,0,0,0.2221288,-0.968332591,124.242268,1979,7.590673575,860.6838235,3.454143822,0.170827454,3,6.391891892,0.008406094,7.74491258,0.15755919,0,0,10,42507.69922,4.412564306,0.839864343,0.402096717,1.043238482,0.041560168,804,3231.154853,2324.5,288.2297297,172.6799523,0.177830468,0.177830468,0.177830468,0.177830468,0.092274568,0.092274568,0.092274568,0.092274568,0.309427415,0.309427415,0.309427415,0.309427415,0,50.95854922,0.73,SC,NA,NA,NA,NA,NA,NA
X209,1,902M20173,902M20173,6/7/16,902M20173_6/7/16,1,Y,0.385335141,SC,Intermediate,,60.8081,229.9,NA,2063,33.40528,-117.18096,902M20173_2016-06-07,6/7/16,Intermediate,0,0,0,0,0.14562665,0.100118322,0.08191499,0.08191499,0.066302006,0.045582629,0.037294878,0.037294878,0.79491256,0.79491256,0.79491256,0.79491256,16.65604806,17.37507964,17.83016292,18.05770456,8.822310625,9.253273662,9.510193933,9.622078568,21.71880562,0.07357924,0.030783078,0.410160209,1.614279807,4.76781939,45.44873552,0.39745628,0.39745628,0.39745628,0.39745628,16.36479476,15.78228816,15.36361154,15.1360699,10.24780375,9.94115697,9.70909995,9.597215316,77,200,407.8,574,918.5,479,2846.857841,0,0,0.211408931,-3.192060948,65.49253731,737,5.194029851,480.3333333,2.262226102,0,0,1,0.007365513,9999,0.16194849,0,19,26,31182.30078,6.455549315,1.595272005,4.415731852,3.237612907,0.023062154,258,825.6924244,2470.100098,317.6538462,142.6050655,0.79491256,0.79491256,0.79491256,0.79491256,16.51042141,17.27496132,17.74824793,17.97578957,8.756008619,9.207691033,9.472899055,9.58478369,0,31.05970149,0.73,SC,10.5,0.02,0.2,0.14,0.00083,0.01
X210,1,902M20173,902M20173,6/7/16,902M20173_6/7/16,2,N,0.633684964,SC,Intermediate,,60.8081,229.9,NA,2063,33.40528,-117.18096,902M20173_2016-06-07,6/7/16,Intermediate,0,0,0,0,0.14562665,0.100118322,0.08191499,0.08191499,0.066302006,0.045582629,0.037294878,0.037294878,0.79491256,0.79491256,0.79491256,0.79491256,16.65604806,17.37507964,17.83016292,18.05770456,8.822310625,9.253273662,9.510193933,9.622078568,21.71880562,0.07357924,0.030783078,0.410160209,1.614279807,4.76781939,45.44873552,0.39745628,0.39745628,0.39745628,0.39745628,16.36479476,15.78228816,15.36361154,15.1360699,10.24780375,9.94115697,9.70909995,9.597215316,77,200,407.8,574,918.5,479,2846.857841,0,0,0.211408931,-3.192060948,65.49253731,737,5.194029851,480.3333333,2.262226102,0,0,1,0.007365513,9999,0.16194849,0,19,26,31182.30078,6.455549315,1.595272005,4.415731852,3.237612907,0.023062154,258,825.6924244,2470.100098,317.6538462,142.6050655,0.79491256,0.79491256,0.79491256,0.79491256,16.51042141,17.27496132,17.74824793,17.97578957,8.756008619,9.207691033,9.472899055,9.58478369,0,31.05970149,0.73,SC,10.5,0.02,0.2,0.14,0.00083,0.01
X211,1,902M20173,902M20173,6/7/16,902M20173_6/7/16,3,N,0.357632507,SC,Intermediate,,60.8081,229.9,NA,2063,33.40528,-117.18096,902M20173_2016-06-07,6/7/16,Intermediate,0,0,0,0,0.14562665,0.100118322,0.08191499,0.08191499,0.066302006,0.045582629,0.037294878,0.037294878,0.79491256,0.79491256,0.79491256,0.79491256,16.65604806,17.37507964,17.83016292,18.05770456,8.822310625,9.253273662,9.510193933,9.622078568,21.71880562,0.07357924,0.030783078,0.410160209,1.614279807,4.76781939,45.44873552,0.39745628,0.39745628,0.39745628,0.39745628,16.36479476,15.78228816,15.36361154,15.1360699,10.24780375,9.94115697,9.70909995,9.597215316,77,200,407.8,574,918.5,479,2846.857841,0,0,0.211408931,-3.192060948,65.49253731,737,5.194029851,480.3333333,2.262226102,0,0,1,0.007365513,9999,0.16194849,0,19,26,31182.30078,6.455549315,1.595272005,4.415731852,3.237612907,0.023062154,258,825.6924244,2470.100098,317.6538462,142.6050655,0.79491256,0.79491256,0.79491256,0.79491256,16.51042141,17.27496132,17.74824793,17.97578957,8.756008619,9.207691033,9.472899055,9.58478369,0,31.05970149,0.73,SC,10.5,0.02,0.2,0.14,0.00083,0.01
X212,1,903NP9PRC,903NP9PRC,4/20/16,903NP9PRC_4/20/16,1,Y,0.974291436,SC,Reference,val,21.8,11.1,6.28,331,33.26041,-116.80917,903NP9PRC_2016-04-20,4/20/16,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.780020872,0.088967591,0.030727735,0.426810394,1.545284361,4.622599125,0,0,0,0,0,1.926736441,1.926736441,1.926736441,1.926736441,1.926736441,1.926736441,1.926736441,1.926736441,26.8,77,238.7,461,574,533,3382.093781,0,0,0.19676337,-3.419075012,117.6666667,1294,8,740.2,2.094338894,0,0,4,0.00462,9999,0.162071005,0,0,0,56431.39844,8.138624907,0,0.15576254,0.15576254,0.021585001,761,2424.311117,2411.699951,323,140.6431732,0,0,0,0,0,0,0,0,0,0,0,0,0,47.83333333,0,SC,0.247,0.0208,0.05,0.013,0.0041,0.01
X213,1,905SDBDN9,905SDBDN9,3/29/16,905SDBDN9_3/29/16,1,Y,0.961815903,SC,Reference,val,73.7,9.72,11.1,1776,33.09184,-116.89774,905SDBDN9_2016-03-29,3/29/16,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78146535,0.087499496,0.030864134,0.424193916,1.592231864,4.622599125,0,3.429027113,3.429027113,3.429027113,3.429027113,0.994048373,0.994048373,0.994048373,0.994048373,1.601747361,1.601747361,1.601747361,1.601747361,74.84,200,407.8,574,918.5,473,3313.143486,0,0,0.23793669,-3.419075012,75.68852459,698,6.209677419,444.0222222,2.094338894,0,0,1,0.00462,9999,0.162071005,0,3,4,31898.69922,4.600083263,0.860055147,0.418327158,0.512443676,0.021585001,225,925.9936349,2598.5,337.5833333,140.6431732,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22580645,0.33,SC,0.295,0.0208,0.05,0.0193,0.0041,0.01
X218,1,907NP9OSD,907NP9OSD,4/19/16,907NP9OSD_4/19/16,1,Y,0.746661331,SC,Intermediate,,37.2,9.54,7.19,515,32.84705,-117.05037,907NP9OSD_2016-04-19,4/19/16,Intermediate,0,0,0,0,0,0,0,0,0,0,0,0,5.473554736,5.658056581,5.781057811,5.781057811,2.226062208,2.297214881,2.337873552,2.337873552,2.226062208,2.297214881,2.337873552,2.337873552,8.85510303,0.088918861,0.031146785,0.423711631,1.538132242,1.466272357,0,1.783517835,1.783517835,1.783517835,6.457564576,1.606017483,1.606017483,1.606017483,2.551331571,1.606017483,1.606017483,1.606017483,2.551331571,52.8514,191.74,404,836.9,1171,258,2745.52325,0,0,0.227939414,-0.868273982,11.07142857,389,7,366.75,1.009355228,0,0,1,0.029950836,9999,0.116472246,2,2,2,28265.5,5.849841984,1.395898448,0.413053392,0.413053392,0.035572958,131,519.5833359,2508.800049,313.1666667,98.05007828,5.473554736,5.658056581,5.781057811,5.781057811,2.226062208,2.297214881,2.337873552,2.337873552,2.226062208,2.297214881,2.337873552,2.337873552,0,37.5862069,0.17,SC,0.38,0.0208,0.05,0.017,0.0041,0.01
X224,1,907M23331,907M23331,6/8/16,907M23331_6/8/16,1,Y,0.59212646,SC,Stressed,,46.0404,167.7,NA,2359,32.84058,-116.90771,907M23331_2016-06-08,6/8/16,Stressed,0,0,0,0,4.085497836,3.566919192,3.445165945,3.49476912,2.189410599,1.91150528,1.846257944,1.872840192,78.20440429,78.37380011,78.37380011,79.89836251,35.85407648,36.48088023,36.50793651,36.9047619,25.00906213,25.45129407,25.70745028,26.0457698,37.24290896,0.09587478,0.031273644,0.431760042,1.580860279,3.983560436,0,14.34217956,14.17278374,14.17278374,14.34217956,15.51677489,15.37247475,15.2958153,15.21915584,17.86568715,18.4504966,18.45532974,18.34658418,75,200,404,574,782.086,522,3129.908189,0,0,0.261840566,-2.480155393,28.46956522,673,7.307692308,439.2317073,2.170938892,0.050083253,1,1.56097561,0.010612937,9999,0.149794412,6,54,77,30079.19922,4.660051193,10.86968414,6.214728787,5.262341783,0.028810258,151,744.5649125,2561.800049,326.7804878,139.4365601,78.20440429,78.37380011,78.37380011,79.89836251,31.76857864,32.91396104,33.06277056,33.40999279,22.81965153,23.53978879,23.86119233,24.17292961,0,43.21367521,2.47,SC,1.9,0.06,0.2,0.11,0.00083,0.01
