OTUID,rep_202,rep_205,rep_208,rep_209,rep_210,rep_211,rep_212,rep_213,rep_218,rep_224,rep_233,rep_234,rep_235,rep_236,rep_244,rep_247,rep_251,rep_254,rep_259,rep_260,rep_267,rep_270,rep_279,rep_282,rep_285,rep_288,rep_291,rep_294,rep_304,rep_310,rep_311,rep_312,rep_313,rep_314,rep_315,rep_316,rep_317,rep_318,rep_319,rep_320,rep_321,rep_322,rep_323,rep_324,rep_325,rep_326,rep_327,rep_328,rep_329,rep_330,rep_331,rep_332,rep_333,rep_334,rep_335,rep_336,rep_338,rep_339,rep_340,rep_342,rep_346,rep_347,rep_352,rep_353,rep_354,rep_356,rep_357,rep_358,rep_359,rep_360,rep_361,rep_362,rep_363,rep_365,rep_366,rep_367,rep_368,rep_369,rep_372,rep_376,rep_377,rep_378,rep_379,rep_381,rep_382,ConsensusLineage
bc545af6aaa6b6c7a8308c6ccca63def,253,0,9,39250,15382,6755,0,0,0,46,0,0,0,0,0,0,2037,0,0,0,0,0,0,18,18,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
f64048bbaa201e1268df76bc754a030f,0,1251,1696,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3016,10210,11844,13198,66,81,50,0,64,160,134,38,0,0,45,707,61,8235,283,0,Unassigned
00a89b174717c708aa357adc19283aa0,17,318,335,0,0,0,0,0,0,0,217,203,711,0,771,0,0,0,0,0,0,20,79,25,0,0,22,0,0,0,1959,0,21,0,0,0,749,603,0,274,41,0,0,188,15,10748,13,0,0,0,66,41,0,0,312,0,107,0,93,0,22,0,5782,3171,0,372,0,218,0,0,0,0,0,0,0,0,414,213,108,384,4327,4948,232,4026,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia turgida
df446c1d96aafecbaa4b2215b36ec96b,3575,0,0,2478,532,143,0,0,0,2846,396,330,1117,314,0,0,0,0,0,43,21465,6916,63,415,22,23,18,0,55,30,0,0,372,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Triceratiales; Triceratiaceae; Pleurosira; Pleurosira laevis
0099ea5af20a0e3fe9f6359c19527c70,3941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9589,10280,6878,30,599,589,72,0,0,0,0,0,0,0,0,32,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Paraliales; Radialiplicataceae; Ellerbeckia; Ellerbeckia sp.
113da450f7d170c15c22d0b096efbd9f,0,0,0,141,0,0,0,3849,2703,21,65,39,93,21,621,27,30,0,0,9,0,0,4817,1043,12,0,0,0,0,24,0,0,0,0,599,594,34,32,0,0,0,0,0,0,0,81,0,74,1669,29,0,0,4372,0,0,0,25,0,838,0,0,0,1161,122,0,0,0,34,0,1460,1589,1180,0,425,371,544,0,337,605,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
3158e5163f34ee03fe28aae91a016f5e,0,0,8498,0,0,0,0,0,0,0,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5638,65,0,0,0,0,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,5720,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sp.
ffe1a7a83911cbbb08ebe4cbee16624b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4960,10917,0,0,0,0,0,0,0,899,0,100,0,0,246,0,0,0,0,147,0,0,0,0,0,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Bacillariales; Bacillariaceae; Nitzschia; Nitzschia kleinteichiana
f15228efea61437ffa3970ce6c69cfe1,1212,56,529,0,0,0,0,0,0,0,321,308,856,0,883,50,0,0,0,0,0,0,21,0,13,0,0,0,0,0,4141,64,0,0,0,0,2822,0,0,201,0,0,0,0,0,96,0,0,0,0,0,32,0,0,0,0,0,67,0,0,0,0,72,3345,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,40,477,121,655,93,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
bbc9781e60225b65a36b384bee7285b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,297,0,0,0,0,0,0,0,65,2198,103,0,0,328,0,0,120,71,261,0,0,11398,56,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
