OTUID,rep_230,rep_230a,rep_272,rep_499,rep_500,rep_501,rep_505,rep_507,rep_508,rep_510,rep_511,rep_512,rep_513,rep_514,rep_515,rep_516,rep_517,rep_518,rep_520,rep_522,rep_523,rep_524,rep_527,rep_528,rep_529,rep_531,rep_532,rep_533,rep_534,rep_536,rep_537,rep_538,rep_542,rep_543,rep_545,rep_546,rep_549,rep_550,rep_552,rep_553,rep_554,rep_555,rep_559,rep_560,rep_561,rep_563,rep_564,rep_566,rep_568,rep_569,rep_570,rep_571,rep_572,rep_573,rep_574,rep_575,rep_576,rep_577,rep_580,rep_581,rep_583,rep_590,rep_591,rep_80,rep_82,rep_95,rep_EFE,ConsensusLineage
52376e50ae5edaeb87b86ceb34bab064,0,0,0,78,338,4506,0,0,0,342,0,0,0,0,0,517,0,54,105,3736,150,0,0,117,0,0,6072,191,0,56,6459,2003,0,0,0,0,605,26,10189,6895,0,0,373,711,0,263,3021,0,0,0,0,0,0,222,0,0,2431,0,580,0,0,76,0,171,0,836,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
afa1d6ecb0bdaf196230b9b82247a4b0,0,0,0,0,0,88,0,0,2297,3069,0,0,161,0,0,0,0,0,0,0,699,0,7,598,50,0,0,0,0,0,0,8,21,1128,172,0,1911,15,76,580,0,0,6325,0,985,3897,12300,1441,0,0,0,0,0,0,0,6942,3317,0,1911,0,187,25,0,0,0,0,0,Unassigned
1a48c8e7bb4acf978fe9bf1cc151b52e,0,0,0,0,0,0,53,0,0,0,0,0,0,19055,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16374,947,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Anomoeoneidaceae; Adlafia; Adlafia minuscula
00a89b174717c708aa357adc19283aa0,1127,0,396,74,0,0,9825,27,0,26,0,8154,0,0,326,0,64,5914,227,0,0,0,2718,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,13,674,0,0,0,0,0,0,0,44,0,0,0,0,0,31,0,0,3823,729,64,1028,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia turgida
8b778b58e73a4ea4bc7d36ca6a306a88,0,0,0,0,0,0,232,0,0,0,24,0,0,0,119,0,0,0,0,0,0,0,0,0,0,5,0,33382,0,0,0,0,0,0,0,0,0,0,0,0,0,759,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,Unassigned
2a4b9be45ff979268ed523ce47a0de41,66,0,0,261,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3031,0,40,197,1172,298,1712,0,1209,0,0,0,0,0,6562,1622,0,393,36,252,0,0,32,0,40,0,3167,283,0,6039,0,0,0,0,0,0,0,0,23,0,0,0,0,7900,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira sp.
30df50e9400fdf4e38f4c4aea3fbd311,0,0,0,101,1464,2409,0,0,0,0,4302,0,0,0,0,0,0,4191,0,47,0,52,0,17,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,1523,0,0,254,0,0,27,22,0,149,3833,37,14,0,8462,677,22,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Anomoeoneidaceae; Adlafia; Adlafia minuscula
5d3e9777cde4c99905423a526f13e2b2,0,0,0,62,0,229,0,18,0,0,1431,110,0,0,349,0,879,324,0,1289,0,0,0,0,0,0,80,82,0,35,1461,10851,0,0,0,0,0,0,1999,3056,108,0,0,0,0,0,0,0,705,50,0,406,0,1829,91,85,0,162,0,260,0,0,53,0,0,142,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium victori
556e720bf0ca0da3f0a23c0f14499526,0,0,0,15,0,33,0,0,0,0,0,105,0,0,0,0,0,16,0,0,0,0,47,0,0,0,0,0,1220,24442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,Unassigned
343bbb465c78dc9f29a8844689cb8fa7,0,0,0,21777,0,697,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Naviculales; Diploneidaceae; Diploneis; Diploneis subovalis
86a5fcdbfa91feaf4941e395a27a6464,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,1804,1076,0,45,0,2372,22,143,70,14,0,0,0,0,0,0,0,26,75,3622,3289,449,20,968,2197,40,0,31,0,742,1272,227,165,0,0,0,0,0,0,0,0,2189,0,1166,0,236,210,0,0,0,0,0,Unassigned
113da450f7d170c15c22d0b096efbd9f,103,0,0,0,0,112,110,0,0,570,0,0,0,0,0,0,0,0,0,328,4,0,211,0,0,0,0,305,0,21,124,20,0,10,0,0,431,16,0,0,141,0,0,0,0,1245,0,0,69,0,0,1417,50,359,7552,792,18,7716,0,535,0,0,20,0,0,17,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
e67145841e911b5f866335da71117ef2,97,0,0,13,12,483,0,7,185,0,0,3,0,52,13,0,0,64,177,0,18,20,0,4,0,0,511,0,0,0,46,0,626,71,302,1272,125,20,27,0,0,0,715,178,4858,946,166,657,0,0,0,24,13,0,11,0,75,0,15,5,10310,6,0,0,0,0,0,Unassigned
df446c1d96aafecbaa4b2215b36ec96b,0,8752,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,6096,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Triceratiales; Triceratiaceae; Pleurosira; Pleurosira laevis
b37f5331fafa594247e1ca1df5a4829a,0,0,0,0,0,0,0,12742,0,1014,0,18,0,51,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Anomoeoneidaceae; Adlafia; Adlafia minuscula
4d36071d0529965a26a8dfb34e5d069f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15835,20,52,89,0,0,7,0,0,0,0,0,0,31,0,0,0,0,Unassigned
f15228efea61437ffa3970ce6c69cfe1,408,0,669,0,0,0,0,0,0,3505,0,162,0,0,0,0,0,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4836,84,22,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
3f138a3f91cc9bb739a06efbd5f5d56c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4584,0,0,56,0,0,0,0,0,0,0,0,0,6783,0,78,0,0,0,0,0,0,0,0,501,102,274,0,0,0,0,0,0,0,0,0,1127,0,0,0,201,0,0,0,0,0,0,Unassigned
77e8597e73b47305f77e2004bd65da3f,0,0,0,1099,527,760,64,0,2006,0,0,0,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1026,955,3089,0,0,0,0,0,0,0,0,0,0,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Tabellariales; Tabellariaceae; Meridion; Meridion circulare
a29f3fed2a82dce650780e3a1b0546aa,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,12631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum
094639ae5c6e21eacbdce34e3ba8aa27,158,0,15,0,0,530,27,0,0,0,1050,0,0,0,174,0,0,0,0,510,0,0,0,0,0,0,0,96,0,164,4077,1241,0,0,0,126,2588,0,0,0,0,0,0,1236,0,0,0,422,73,0,0,30,0,0,123,0,0,0,193,194,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
a085b2c1fe52fc6e8f3e7b6801b333eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,5473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Karayevia; Karayevia oblongella
7e3c63f39a035245f407829d785ee90f,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,137,939,0,7613,253,0,0,0,0,0,96,58,0,2509,0,0,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Thalassiosirales; Stephanodiscaceae; Stephanocyclus; Stephanocyclus meneghinianus
ee08674eaf29d0c7482fe106e29ec780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7173,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira sp.
