OTUID,1000-513PS0984,1001-113PSO360,1002-533PS0955,1003-205COY395,1004-201RDW790,1005-205COY360,1007-204COY425,1008-552R5NPDC,1009-509R5NP3F,1010-552R5NPDC,1011-537R5NPFA,1012-630BUCB01,1013-630BUCB02,1014-630PS0005,1015-719NP7TWP,1016-111CBCANF,1017-518SCEBAM,1018-103WER029,1019-105PS0540,1020-526ESCAMC,1021-309SARANF,1023-522MFSCRB,1024-309SLCAAS,1025-106WE1066,1026-802SMC580,1027-526PNCAMF,1028-105CLCATC,1029-518RCNAPC,1030-305LGCACR,1031-207SUI290,1032-403WE1027,1033-512ZZMAEC,1034-628MRW138,1035-536SFT127,1036-201COY360,1038-404S03048,1038-404S03048-1,1039-404S02920-1,1039-404S02920-2,1039-404S02920-3,1040-404S05992-1,1041-404BA1128,1041-404BA1128-1,1042-404BA1144,1042-404BA1144-1,1043-403WE0540-1,1043-403WE0540-2,1086-SMC00027,1100-907NP9CMC-1,1101-911CCH80X-1,1119-LAR08641-07-09-19-1,1120-LAR01808-07-09-19-1,1122-LAR0232-07-15-19-1,1128-LAR08645-07-15-19-1,1131-LAR08647-07-16-19-1,1134-634BMCH89,1135-635PRS001,1136-634TRCASC,1137-630PS0005,1140-524PS1114,1142-514PS0275,1143-636PS0278,1149-517PSC038,1156-LAR04204,1173-SGUR0280,1177-SGLR01260,1180-SGUR01248,1183-SGUR03452,232-404M04599,233-408M03020,234-SMC00836,235-408M03027,236-403M01522,238-SMC00271,239-402M00043,240-SMC00036,241-408BA0660,242-403M03036,243-403M01528,244-403M01500,245-402M00029,246-402M00015,260-SGUR0036,261-SGLR01278,262-SGMR10600,263-405CE0280,267-SMC01544,268-412PS0020,313-801PFB019,316-801RB8312,319-801M15441,324-801SAR151,327-801WE1008-R1,328-801WE1008-R2,332-801SAR494,334-801RB8356,339-801SAROCR,342-801M15389,343-801M15406,416-402M00042,417-408M03052,418-408BA0660,419-SMC00027,420-402M00030,421-403M01539,422-408M03038,423-408M03047,424-402M00046,425-SMC00271,426-SMC00036,427-404M04517,430-405PS0011,431-SMC00254,432-SMC00206,433-801M12665,434-901M14138,435-SMC00105,436-SMC00873,437-CC-CR,438-801M12652,439-REF-FC,467-905PS0026,469-911M24945,472-906M21738,476-904WE1125,480-907M23362,482-909WE0662,486-910M24924,487-905M21756,490-906M21758,493-911M24934,605-403WE0683,606-403WE0535,607-403WE0534,608-403WE0905,609-404BA1144,610-404S03048,611-404S05992,612-404S16516,613-404BA1128,614-404S08040,615-403WE0682,616-403WE0560,633-204AMO140,635-204ALP075,636-204AMO180,641-202PIL550-1,642-202SGR150,645-202SGR125-1,646-202SGR022-1,647-202PIL200-1,648-202SER110-1,649-202SGR040-1,654-202PES150-1,702-403M01626,704-403M01565,705-403M01565,722-LAR00440-0-2-um,724-LAR0232-0-2-um,726-LAR08640-0-2-um,728-LAR08642-0-2-um,732-LAR0552-unfiltered,734-901NP9TNC-1,734-901NP9TNC-eDNA,734-901NP9TNC-MB,735-903CVPCT-1,735-903CVPCT-eDNA,735-903CVPCT-LB,735-903CVPCT-MB,736-907NP9CMC-eDNA,736-907NP9CMC-MB,737-911CCH80X-eDNA,737-911CCH80X-LB,737-911CCH80X-MB,738-911NP9LPC-1,738-911NP9LPC-eDNA,738-911NP9LPC-MB,739-903ACPCT1-1,739-903ACPCT1-eDNA,739-903ACPCT1-LB,739-903ACPCT1-MB,740-903ACPCT2-1,740-903ACPCT2-eDNA,740-903ACPCT2-MB,741-903NP9UAC,741-903NP9UAC-1,741-903NP9UAC-MB,742-907SDCHC3-1,742-907SDCHC3-2,742-907SDCHC3-eDNA,744-907SDBOC2-1,744-907SDBOC2-eDNA,744-907SDBOC2-LB,745-907TCB-1,747-LB-RA,748-LB-RA,754-LC-R5,756-LC-R4,763-POM-RD,767-POM-RC,770-WN-RD1,773-SJC-C1-Alt,779-SA-RB,782-WN-RD,785-105PS0540,787-312MZCDBC,788-403WE1027,789-405BRCASG,791-526ESCAMC,796-309SLCAAS,798-111GCABPC,800-636SAG001,801-201PNG050,802-305UVCASC,804-526PS0072,805-402SNPMCR,806-801S01671,808-111BVCMFE,811-525NC0647,812-536WS0743,813-534WS0748,814-534WS1004,862-911NP9HTC,865-911NP9EPC,869-902NP9CWC,873-903ACPCT1,877-907SDBOC2,881-901BELOLV,885-905SDGCC1x,889-901SMCWHC,893-910DFWHBC,897-911R9LMC1,901-911R9LMC1-DUP,905-911PVCAEC,909-903R9PPCD,940-204AMO140,993-603FCA145,994-509FCA054,995-518FCA075,996-628PS2127,997-518PS0222,998-113PS0356,999-113PS0356,EB-2-14-21,EB-7-26-21,EB-8-2-2021,EB-9-1-20,EB-9-9-21,ntc,zymodna,zymodna-logphase,ConsensusLineage
00a89b174717c708aa357adc19283aa0,36,3592,39,0,0,0,22,0,1979,0,36,0,0,0,11,31008,0,0,87,0,113,0,235,474,0,0,0,0,1811,0,0,1535,0,25220,0,0,0,0,0,0,0,0,0,1613,1821,0,0,667,602,45645,7276,2647,0,14,1032,0,44,38,0,21,0,500,0,0,0,0,0,0,3451,0,0,0,0,350,0,0,0,0,0,0,0,103,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,196,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,350,1669,376,0,97,0,0,0,382,1356,0,6826,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,58,0,0,0,0,0,2007,152,7168,583,33151,1755,73,0,2278,2540,13313,1827,11672,958,2095,947,11826,1197,0,0,0,1235,998,0,17,0,0,0,0,0,0,0,0,0,0,8247,300,0,0,0,1805,164,1171,0,0,3520,0,0,184,179,0,2277,85,14,0,2581,277,205,0,21773,867,1902,7721,8042,26237,24,1677,0,6000,3395,0,1134,6858,9763,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia turgida
df446c1d96aafecbaa4b2215b36ec96b,0,0,0,43,0,0,262,0,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2589,2278,2960,0,0,0,0,0,0,0,0,0,8676,5947,0,0,0,0,0,0,0,0,0,17,0,0,0,0,27,11,4744,12754,9615,0,7,0,9046,5661,7,0,0,180,0,635,437,0,0,10,1482,9611,0,11153,0,0,10498,1597,1179,0,0,0,6402,392,0,0,0,14,22,0,0,68,0,129,862,15086,2086,56,0,17,0,0,0,11,0,33162,23918,0,0,0,26,2789,0,0,678,1297,0,0,22,1675,36940,2016,55,0,0,0,7104,0,82,0,0,0,0,0,0,0,0,2020,1232,0,10609,0,31651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5178,6067,3856,0,0,2374,0,2273,43,756,4084,520,1694,45,74,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Triceratiales; Triceratiaceae; Pleurosira; Pleurosira laevis
f15228efea61437ffa3970ce6c69cfe1,0,5242,227,0,0,0,0,0,0,0,121,0,0,0,0,25,0,46,0,0,496,0,520,0,0,0,0,91,194,0,0,3806,0,71,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,166,360,1958,0,0,20414,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,1095,0,719,0,0,0,0,0,93,0,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,214,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,211,24614,70,18,0,21,32,0,0,0,4715,9971,0,22328,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,261,0,0,119,0,0,0,0,335,0,605,0,316,0,0,0,293,966,0,413,4193,2311,879,2504,6139,12957,0,0,0,11221,5718,0,0,0,0,0,0,0,0,0,0,0,0,0,6019,0,0,0,558,230,0,0,173,2501,0,0,0,0,0,0,0,0,0,0,0,104,0,2696,0,0,0,17,762,0,8153,0,5735,0,38,347,3069,2789,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
113da450f7d170c15c22d0b096efbd9f,153,146,247,351,0,21,568,429,189,138,0,0,11,0,0,0,0,18,21,0,0,288,0,48,0,0,0,15,0,0,0,0,96,21,40,2287,4246,51,0,21,1829,855,1018,257,345,0,0,0,23287,433,71,10,56,0,43,19,28,105,44,2893,0,24,0,302,0,0,0,0,111,0,6,1292,32,0,14,26,9,0,0,0,188,268,285,21,0,0,751,10,16384,284,122,102,779,725,91,1007,9849,8,0,24,0,123,0,22,0,589,0,1048,14,84,471,0,31,272,495,1400,908,31,124,0,0,122,1808,29,0,101,21555,757,1110,21,9,234,57,90,413,284,731,628,9,59,0,0,12,16,224,0,2473,0,0,0,207,0,0,0,7,196,39,0,0,0,7,3618,0,0,0,0,0,0,0,2450,2310,147,0,24,217,0,73,117,48,0,23,14,25,0,0,0,0,115,128,254,80,72,0,1199,0,0,0,0,0,47,64,0,0,145,3999,0,0,6,12,33,0,2096,0,126,262,0,0,0,7288,0,2801,6971,444,1400,0,891,389,35,9,0,19162,132,681,404,772,26,0,72,782,6,157,45,28,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
b04c05d72c304b1416b732bbddaa363e,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,57,32,0,0,0,568,36,57,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,15,0,138,0,0,7,29363,7869,904,75,0,0,4734,1984,12,11,0,54,699,18,2622,240,18,29,52,171,184,0,8,0,0,21,108,231,0,53,0,148,297,0,0,0,6335,2867,22,0,4882,162,5532,1474,79,969,47,0,39,0,1280,0,18,0,17,114,0,0,0,0,320,0,0,197,4,0,0,91,1467,532,604,350,0,0,155,76,11,0,4,2,0,22,0,4,0,19,0,0,0,1855,14,263,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13952,7047,118,7047,5955,89,3762,6099,3273,16919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,4,0,121,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Gedaniella; Gedaniella flavovirens
6153b511c9d4d7ff767e362494509168,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,13,0,270,0,0,0,0,38,0,0,0,0,0,0,251,297,0,0,5172,1026,641,485,551,0,0,498,0,0,0,0,0,0,402,0,0,0,0,0,0,223,0,0,0,0,76,0,272,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16880,0,131,0,0,0,44,24,391,0,0,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,172,76,1118,161,0,0,0,0,520,425,0,98,0,0,0,0,0,0,0,0,0,10,0,54,0,0,0,0,2859,3085,16766,125,0,0,8,5906,2542,2052,0,157,26,0,0,2170,4883,0,2942,5296,3750,4996,837,1564,2312,0,0,19,2552,10290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,13,20,10502,3761,12,0,5767,333,257,3825,5076,912,0,357,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia gibba
9cbdf4c01342d5752298c3619e754cdc,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,0,1678,1122,2632,2718,2482,4306,7589,6001,7,10,16,0,18,108,16,0,0,95,0,39,0,0,0,0,869,0,0,0,31,0,389,0,0,0,37,127,53,24,0,201,117,21,39,1114,7,312,257,101,158,2770,0,399,205,699,0,0,36,0,0,70,140,228,0,0,13,1523,445,46,14,0,325,268,0,0,2841,0,9,51,83,476,95,31,1336,10839,74,12542,7004,0,42,271,14,7,79,7118,603,48,0,439,64,195,0,88,27,53,741,10,0,27,0,1243,0,0,0,0,0,0,0,13,0,0,185,210,321,0,38,0,5418,0,0,0,0,0,0,0,933,125,65,0,14,155,161,239,0,0,0,0,0,0,0,0,0,0,129,69,4597,0,0,0,6367,384,184,13873,79,21,99,36,42,0,0,0,0,24,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,198,0,23,0,0,0,181,233,433,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Thalassiosirales; Stephanodiscaceae; Stephanocyclus; Stephanocyclus meneghinianus
1a48c8e7bb4acf978fe9bf1cc151b52e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,233,0,127,0,0,0,8,0,0,0,0,5,15,264,199,0,0,0,20,22,47,124,0,0,15,0,0,0,0,0,0,0,0,179,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,28,15,0,23,450,7664,0,0,136,1310,0,0,0,85,1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,429,410,2544,759,0,0,0,0,386,353,240,0,0,0,0,0,1508,258,0,231,530,1176,249,349,46,359,0,0,0,29,0,0,1988,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,1739,349,655,1311,27540,136,33472,267,119,199,92,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Anomoeoneidaceae; Adlafia; Adlafia minuscula
c54109c416c47172ed1165ce43817fc5,1904,0,45,0,0,0,0,1812,0,3675,0,0,0,0,0,0,0,51,0,24,65,0,127,730,92,0,0,0,11,76,66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,69,0,0,0,0,0,0,0,0,0,0,50,0,0,0,19,0,0,0,0,0,0,76,0,0,0,41,0,0,15,0,0,0,47728,9,22,0,0,0,0,0,0,0,25,5050,0,0,1637,0,34,0,401,6794,0,0,13,0,0,16,7,14,34,0,130,35,5,27,13,0,0,0,89,0,0,10,29,0,36,0,0,0,0,0,0,0,0,3981,0,0,49,32,3,0,0,0,0,3,0,18,0,75,0,0,0,0,10847,0,21,53,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,75,37,0,4,0,5,20,0,0,0,38,11,21,985,0,0,0,0,0,0,0,0,5,0,0,0,3,15,0,0,0,0,0,0,383,26,0,0,17,0,0,12,34,24,18,9,0,31,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,Unassigned
db262f2542fc0e06333dfb8096789059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897,0,12,0,0,0,0,0,0,0,0,0,0,709,0,0,0,83,98,16,0,16,0,83,460,0,119,0,0,0,0,2725,16,0,8,32335,48,2048,0,147,0,0,240,171,45,851,9191,0,570,4149,0,0,0,2008,714,0,0,59,0,257,6875,0,37,774,0,46,0,71,0,0,0,26,79,143,0,0,0,88,0,0,872,0,0,0,0,321,0,0,58,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,257,7133,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,106,105,0,0,0,0,166,226,59,46,1242,8611,61,81,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Thalassiophysales; Catenulaceae; Halamphora; Halamphora veneta
