OTUID,rbcL-105PS0090-230913-MALG1-S1,rbcL-105PS0259-230914-MALG1-S1,rbcL-105PS2260-230816-MALG1-S1,rbcL-106PS0371-230912-MALG1-S1,rbcL-111FS0008-230602-MALG1-S1,rbcL-113PS0356-190625-MALG1-S1,rbcL-113PSO360-190619-MALG1-S1,rbcL-201HAL100-170619-MALG1-S1,rbcL-201LAG0220-170626-MALG1-S1,rbcL-201LAG050-170627-MALG1-S1,rbcL-201LAG065-170612-MALG1-S1,rbcL-201LAG103-170612-MALG1-S1,rbcL-201LAG150-170515-MALG1-S1,rbcL-201LAG160-170524-MALG1-S1,rbcL-201LAG175-170627-MALG1-S1,rbcL-201LAG242-170615-MALG1-S1,rbcL-201LAG280-170614-MALG1-S1,rbcL-201LAG300-170614-MALG1-S1,rbcL-201LAG380-170613-MALG1-S1,rbcL-201NIC400-170516-MALG1-S1,rbcL-201WLK098-170622-MALG1-S1,rbcL-201WLK120-170517-MALG1-S1,rbcL-201WLK178-170522-MALG1-S1,rbcL-201WLK190-170522-MALG1-S1,rbcL-202BUT020-170607-MALG1-S1,rbcL-202BUT030-170620-MALG1-S1,rbcL-202BUT040-170607-MALG1-S1,rbcL-202BUT050-170608-MALG1-S1,rbcL-202PES060-170621-MALG1-S1,rbcL-202PES140-170601-MALG1-S1,rbcL-202PES162-170606-MALG1-S1,rbcL-202PES170-230725-MALG1-S1,rbcL-202PES180-170531-MALG1-S1,rbcL-202PES190-170531-MALG1-S1,rbcL-202PES240-170530-MALG1-S1,rbcL-202R00024-230724-MALG1-S1,rbcL-202SGR076-180613-BLANK-S1,rbcL-204AM0140-230509-MALG1-S1,rbcL-204AMO0-1-190609-MALG1-S1,rbcL-204AMO190-230624-MALG1-S1,rbcL-205R00769-2-180510-MALG1-S1,rbcL-205R01771-160603-MALG1-S1,rbcL-205R01771-160613-MALG1-S1,rbcL-205R02547-160601-MALG1-S1,rbcL-205R02547-160601-MALG2-S1,rbcL-205R02602-160602-MALG1-S1,rbcL-205R02602-160602-MALG2-S1,rbcL-205R02730-160601-MALG1-S1,rbcL-205R02730-160601-MALG2-S1,rbcL-205R02762-160602-MALG1-S1,rbcL-205R02762-160602-MALG2-S1,rbcL-205R04217-1-180503-MALG1-S1,rbcL-308PWCAH1-230726-BLANK-S1,rbcL-308PWCAH1-230726-MALG1-S1,rbcL-308PWCAH1-230726-MALG2-S1,rbcL-308PWCAH1-230726-MALG3-S1,rbcL-314SYP-240628-MALG2-S1,rbcL-315CAP-240523-MALG1-S1,rbcL-315CAP-240523-MALG2-S1,rbcL-315CAU-240522-MALG1-S1,rbcL-315CAU-240522-MALG2-S1,rbcL-315DOS-230524-MALG1-S1,rbcL-315DOS-240524-MALG2-S1,rbcL-315GAI-230524-MALG1-S1,rbcL-315GAI-240524-MALG2-S1,rbcL-315MIU-230523-MALG2-S1,rbcL-315RSB-230522-MALG2-S1,rbcL-315RSB-240522-MALG1-S1,rbcL-402PS0048-210519-MALG1-S1,rbcL-402PS0048-210519-MALG2-S1,rbcL-402WE0536-210519-BLANK-S1,rbcL-402WE0536-210519-MALG1-S1,rbcL-402WE0536-210519-MALG2-S1,rbcL-403CE0188-160526-MALG1-S1,rbcL-403CE0188-160526-MALG2-S1,rbcL-403WE0560-210520-MALG1-S1,rbcL-403WE0560-210520-MALG2-S1,rbcL-404BA0852-210518-MALG1-S1,rbcL-404BA0852-210518-MALG2-S1,rbcL-404R4S008-210508-MALG1-S1,rbcL-404R4S008-210518-MALG1-S1,rbcL-404R4S029-210527-MALG1-S1,rbcL-408PS0032-210525-MALG1-S1,rbcL-408WE0654-210525-MALG1-S1,rbcL-513PS0008-230614-MALG1-S1,rbcL-513STCAIV-210607-MALG1-S1,rbcL-514DNCLDC-210922-MALG1-S1,rbcL-514SFA222-211021-MALG1-S1,rbcL-517LCCAYB-210721-MALG1-S1,rbcL-517LCCAYB-210721-MALG2-S1,rbcL-517PSC038-210630-MALG1-S1,rbcL-518CDS022-210630-MALG1-S1,rbcL-518RCAJNC-220706-MALG1-S1,rbcL-532MKN078-230814-MALG1-S1,rbcL-534SED001-210803-MALG1-S1,rbcL-537R5NPFA-210517-MALG1-S1,rbcL-554NMCCVM-230929-MALG1-S1,rbcL-554NMCCVM-230929-QUAL1-S1,rbcL-603WRK001-230905-MALG1-S1,rbcL-603WRK001-230905-MALG2-S1,rbcL-632CHV001-210706-MALG1-S1,rbcL-634BMCH89-210707-MALG1-S1,rbcL-801BBMC01-230628-MALG1-S1,rbcL-801BBRC01-230628-MALG-BL,rbcL-801BBRC01-230628-MALG1-S1,rbcL-801M16728-230516-MALG1-S1,rbcL-801M16739-230517-BLANK-S1,rbcL-801M16740-230518-BLANK-S1,rbcL-801M16740-230518-MALG1-S1,rbcL-801S18169-230518-MALG1-S1,rbcL-801S31343-230627-MALG1-S1,rbcL-801WE1043-230626-MALG1-S1,rbcL-901BELOLV-220414-MALG1-S1,rbcL-901NP9MRC-170327-MALG1-S1,rbcL-902M18865-160505-MALG1-S1,rbcL-902SCSCRx-220603-MALG1-S1,rbcL-902SCSCRx-230712-QUAL1-S1,rbcL-903ACPCT1-210519-MALG1-S1,rbcL-903ACPCT1-220427-MALG1-S1,rbcL-903ACPCT1-220427-MALG2-S1,rbcL-903ACPCT1-220427-MALG3-S1,rbcL-903ACPCT1-230629-QUAL1-S1,rbcL-903ACPCT1DUP-220427-MALG1-S1,rbcL-903ACPCT1DUP-220427-MALG2-S1,rbcL-903ACPCT1DUP-220427-MALG3-S1,rbcL-903FCPSPx-210630-MALG1-S1,rbcL-903NP9SLR-170419-MALG1-S1,rbcL-903NP9UAC-210607-MALG1-S1,rbcL-903NP9UAC-220510-MALG1-S1,rbcL-903PCPMPx-210623-MALG1-S1,rbcL-904M21729-160614-MALG1-S1,rbcL-904WE1125-160614-MALG1-S1,rbcL-905BMCCGx-210521-MALG1-S1,rbcL-906LPCYNM-160824-MALG1-S1,rbcL-906LPCYNO-160824-MALG1-S1,rbcL-906LPCYNU-160824-MALG1-S1,rbcL-907M23348-160617-MALG1-S1,rbcL-907NPSSVC-220405-MALG1-S1,rbcL-907SDBOC2-220503-MALG1-S1,rbcL-907TCB-171108-MALG2-S1,rbcL-907TEMREF-220325-MALG2-S1,rbcL-909CLASASR-210602-MALG1-S1,rbcL-909M24925-160510-MALG1-S1,rbcL-909M24937-160622-MALG1-S1,rbcL-909NP9UNT-170403-MALG1-S1,rbcL-909SWCASR-170502-MALG1-S1,rbcL-909SWCASR-230608-MALG2-S1,rbcL-909SWCYNM-160824-MALG1-S1,rbcL-909SWCYNO-160824-MALG1-S1,rbcL-910OTCYNM-160824-MALG1-S1,rbcL-911GSCAPV-220418-MALG1-S1,rbcL-911KCKCRx-210527-MALG1-S1,rbcL-911M24926-160323-MALG1-S1,rbcL-911NCPCRx-220413-MALG1-S1,rbcL-911NCPCRx-220413-MALG2-S1,rbcL-911NCPCRx-220425-MALG1-S1,rbcL-911NCPCRx-220425-MALG2-S1,rbcL-911NCPCRx-220616-MALG1-S1,rbcL-911PS0794-220419-MALG1-S1,rbcL-911PS0794-220419-MALG2-S1,rbcL-911TJKC1x-210512-MALG1-S1,rbcL-911TJKC1x-220406-MALG1-S1,rbcL-911TJKC1x-220406-MALG2-S1,rbcL-911TJKC1x-220425-MALG1-S1,rbcL-911TJKC1x-230610-MALG1-S1,rbcL-911TJLCC2-210610-MALG1-S1,rbcL-911TJPCV1-230627-QUAL2-S1,rbcL-911TJPVC1-210614-MALG1-S1,rbcL-COY114-160609-MALG1-S1,rbcL-COY121-160609-MALG1-S1,rbcL-FIELDQA-170608-MALG1-S1,rbcL-FIELDQA-170615-MALG1-S1,rbcL-FIELDQA-170619-MALG1-S1,rbcL-FIELDQA-230726-MALG1-S1,rbcL-FIELDQA-230726-MALG2-S1,rbcL-FIELDQA2-240522-BLANK-S1,rbcL-FIELDQA3-240522-BLANK-S1,rbcL-NRS23CA10003-230613-MALG1-S1,rbcL-SMC0026-160505-MALG1-S1,rbcL-SMC01097-160506-MALG1-S1,rbcL-SMC2-21725-160517-MALG1-S1,rbcL-SMC2-21737-160517-MALG2-S1,rbcL-WCAP990662-160510-MALG1-S1,ConsensusLineage
113da450f7d170c15c22d0b096efbd9f,499,331,0,948,0,39,160,1427,23811,3514,1517,0,0,0,21350,1055,0,717,0,0,2581,1225,7061,251,715,9920,490,0,1301,256,362,0,0,1143,0,0,0,691,5907,491,215,0,0,0,0,0,0,881,1499,0,0,0,0,4398,0,3024,0,225,92,118,217,39,118,28,31,1265,685,613,10,10,0,0,0,16,0,0,7,295,266,59,55,5765,0,26,0,0,8738,11,11537,7382,448,49,0,3282,1229,0,536,4542,0,0,386,1008,113,0,0,0,0,0,0,1246,0,6940,1381,0,62,229,192,0,28,33,13,215,21,15,25,540,0,54,9,3893,0,0,42,0,0,0,8,3933,0,957,478,1847,1559,2385,1228,184,0,0,0,0,0,17,354,0,0,0,0,0,0,0,0,7,0,0,0,0,35656,183,0,0,715,935,6531,6224,0,0,0,0,1927,207,2339,232,720,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
df446c1d96aafecbaa4b2215b36ec96b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,725,549,0,0,0,0,1680,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26979,33,0,0,0,0,0,0,1407,0,8907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5461,0,14,9,0,0,0,0,0,7014,29552,0,0,0,0,0,0,0,0,0,0,8,0,0,0,28159,39735,0,0,0,0,34872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,779,71,25474,0,Eukaryota; Bacillariophyta; Mediophyceae; Triceratiales; Triceratiaceae; Pleurosira; Pleurosira laevis
6153b511c9d4d7ff767e362494509168,0,0,1638,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,226,0,70,68,0,0,188,108,81,71,0,141,0,0,0,55,0,0,0,0,0,0,0,0,0,0,22,28,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,14954,0,0,0,3416,6986,13360,12647,13718,3562,15262,12360,14063,20,0,1294,2882,0,0,0,1552,24,0,0,152,469,2056,0,0,36,449,966,36,0,0,0,0,0,0,3405,0,0,0,0,0,32,0,0,5988,0,0,96,10032,1673,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,193,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia gibba
00a89b174717c708aa357adc19283aa0,0,0,501,0,187,11486,2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,801,3452,0,0,0,0,0,0,0,0,0,0,0,0,500,0,372,0,0,0,0,0,0,0,0,0,0,0,0,792,997,0,355,288,0,0,763,571,3018,1931,0,0,0,0,0,1474,0,2421,1618,8873,7724,1094,397,0,158,0,39,83,706,292,157,565,20,0,0,0,0,0,0,0,0,0,0,349,0,0,0,2687,140,481,618,472,2742,233,187,234,136,0,5094,9900,262,5,0,1215,0,0,0,0,212,11,11,0,96,2136,6196,82,0,0,0,0,0,0,528,0,0,0,0,0,19,0,0,74,3,0,17,446,5902,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,421,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia turgida
5d3e9777cde4c99905423a526f13e2b2,0,0,0,0,77,0,152,2595,131,604,715,305,766,3420,205,983,1169,730,71,4309,390,401,100,2168,311,613,551,2357,47,404,487,474,866,694,0,2776,0,242,88,65,242,56,0,4616,6205,10832,11335,151,302,493,370,2205,0,692,0,392,0,591,435,1177,932,185,250,534,677,7881,864,718,63,74,0,135,160,37,0,35,23,73,58,0,0,494,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,182,0,11,6,0,0,116,602,20,115,0,26,0,0,0,0,32,0,24,0,107,0,46,44,182,0,0,110,0,0,0,0,0,0,2024,20,190,52,835,171,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,887,139,713,1530,1096,583,0,0,0,380,180,0,0,0,23,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium victori
c65415f0f1caaa4bfcb9b849043895bb,0,0,0,0,73,0,0,196,580,90,106,68,18,49,684,2706,5179,0,121,257,8277,220,25033,5359,333,545,53,1641,637,4124,6940,0,13905,4776,0,0,0,0,0,0,685,25,23,19,0,148,17,0,248,33,60,90,0,1264,0,909,0,0,0,0,0,0,0,0,0,0,236,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,94,0,2712,1499,1110,0,0,0,0,0,561,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
2c25b3ef29678714d8b7400ef664a716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23018,27782,10513,10978,2105,175,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
f64048bbaa201e1268df76bc754a030f,0,0,21,0,0,13,9,166,0,0,0,73,115,60,0,49,881,94,29,675,259,13,0,574,0,45,92,207,0,0,0,35,0,19,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,6,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,73,0,0,22,77,490,480,542,20,237,285,277,478,20,0,80,149,0,0,953,0,0,0,0,0,2778,543,3537,1856,1178,10639,1299,401,0,0,0,0,0,6381,609,1461,2616,2505,3245,10389,265,447,775,625,404,1669,1346,1648,0,2906,0,0,89,26,0,0,0,0,0,0,34,0,0,0,42,Unassigned
52376e50ae5edaeb87b86ceb34bab064,121,264,0,97,306,0,0,1719,0,1195,988,1260,1063,2593,52,607,821,4476,125,2797,287,1081,49,1371,1153,494,86,759,108,76,86,181,268,87,0,1446,0,0,0,0,0,0,0,309,236,7156,6560,0,0,26,0,1724,0,0,0,0,0,90,61,0,37,68,0,0,0,196,0,0,42,50,0,50,40,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,179,163,0,0,67,189,36,0,802,860,1027,689,0,0,1858,0,80,0,0,0,0,0,0,142,456,0,310,0,120,49,105,75,79,142,67,65,79,46,89,12,38,149,0,0,0,0,0,0,0,0,0,1072,931,1325,0,518,866,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,0,46,2263,841,871,0,0,0,0,423,158,168,0,0,86,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
e4049299ffd32a71fda329c6494c4051,0,0,24,0,152,0,0,93,50,43,336,0,18,65,105,946,398,0,17,78,30,0,0,0,0,0,108,1452,0,188,271,54,526,179,0,2382,0,242,55,29,86,3799,2574,733,1106,488,527,274,630,10763,8838,117,0,247,0,118,0,50,42,256,234,15,22,6,0,377,20,25,102,120,0,198,124,0,10,302,141,89,102,0,0,115,0,32,40,0,0,0,0,0,0,23,0,0,0,186,0,0,0,0,0,0,44,0,0,0,0,0,0,25,35,77,0,0,118,82,0,0,0,0,0,0,0,0,0,0,0,52,0,43,47,22,420,0,0,0,0,0,0,943,0,3231,0,198,2258,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,7944,2575,336,0,647,128,104,0,0,0,0,7,280,25,44,28,Eukaryota; Bacillariophyta; Bacillariophyceae; Thalassiophysales; Catenulaceae; Amphora; Amphora pediculus
