FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Achnanthaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,NA,
Achnanthales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,NA,NA,
Achnanthes,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes acares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes biasolettiana var subatomus,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes brevipes var intermedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata,NA,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes crenulata,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes exigua var elliptica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes inflata,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ingratiformis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lacus-vulcani,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lewisiana,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lutheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ricula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes saxonica,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes subhudsonis var kraeuselii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes taeniata,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ventralis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthidiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,NA,
Achnanthidium,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
